Boundary,,7400 Contour,,7200 Contour,,7000 Contour,,6800 Contour,,6600 Contour,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
5.563829787233885,5882.373684210525,111.27659574468078,4147.103023516237,33.38297872340411,2942.2703247480404,2308.989361702128,2593.5060470324775,3455.138297872341,2146.525531914897,4629.106382978724,548.6521836506206
6826.819148936171,5799.5604703247545,450.67021276595733,4292.172564389698,328.26595744680844,3065.787346024636,2498.159574468085,2734.6516237402043,3583.106382978723,2293.820604703251,4762.638297872341,640.8360582306877
6826.819148936171,2617.5183650615973,645.4042553191489,4383.712206047033,534.127659574468,3162.7151175811873,2687.3297872340427,2870.2919372900365,3694.382978723405,2397.249272116465,4890.606382978724,755.0995520716733
7082.755319148937,2609.3190369540944,823.4468085106382,4425.880179171332,778.9361702127658,3231.7066069428897,2959.9574468085107,3060.1063829787263,3872.4255319148947,2477.9540873460287,5057.521276595746,830.4162374020207
7077.191489361703,2069.86181410975,1034.8723404255318,4489.7178051511755,1046,3305.9690929451294,3227.021276595745,3299.526763717808,4011.5212765957453,2498.510974244125,5252.255319148937,927.4611422172505
6559.755319148937,2086.319036954094,1296.372340425532,4575.0493840985455,1290.8085106382978,3380.4658454647274,3366.117021276596,3457.715229563273,4395.425531914894,2197.1856662933974,5424.734042553193,1019.2350503919429
6548.627659574469,1546.9203807390884,1574.5638297872338,4654.700000000001,1574.5638297872338,3460.057894736844,3471.829787234043,3616.255095184774,4590.159574468085,1996.9463605823116,5613.90425531915,1138.3595744680906
6025.6276595744675,1557.9309070548773,1769.2978723404258,4713.208062709968,1813.8085106382978,3545.62374020157,3622.0531914893613,3719.2737961926127,4807.148936170213,1835.0096304591314,5769.691489361703,1224.8039193729062
6020.063829787236,-66.06315789473081,2103.127659574468,4841.820380739084,2025.2340425531916,3636.9876819708866,3794.5319148936164,3805.5424412094108,5001.882978723404,1783.4124300112032,5914.3510638297885,1278.3338185890318
4985.191489361703,-66.18029115341051,2320.1170212765956,4938.631019036957,2253.351063829787,3744.69171332587,4022.648936170213,3775.6148936170252,5185.489361702128,1836.5323628219537,6025.6276595744675,1293.67827547593
4979.627659574469,506.42564389698146,2542.670212765958,5062.909406494963,2475.9042553191493,3879.9806270996664,4250.765957446809,3652.0978723404296,5357.968085106384,1922.8010078387513,,
3950.319148936171,517.2604703247519,2815.297872340426,5197.671220604705,2681.7659574468084,4009.939977603586,4423.244680851065,3496.134938409859,5552.702127659575,2008.8353863381917,,
3955.882978723404,1574.212430011202,3048.9787234042556,5321.832474804034,2882.063829787234,4128.947368421055,4567.90425531915,3362.485890257564,5753,2094.8111982082924,,
3438.4468085106387,1579.659126539757,3655.4361702127667,5568.690817469208,3065.6702127659573,4264.646248600227,4695.8723404255325,3212.4967525196016,5969.989361702128,2175.106047032481,,
3432.882978723405,2102.7176931690965,3905.8085106382982,5654.139529675255,3271.5319148936173,4433.142441209409,4812.712765957447,3051.6142217245288,6214.797872340427,2233.0870100783936,,
1863.882978723404,2124.7387458006738,,,3527.4680851063836,4496.51153415454,4918.425531914894,2863.322508398661,6459.606382978724,2296.5732362822014,,
1863.882978723404,2636.7282194848844,,,3827.914893617022,4520.875251959689,5001.882978723404,2702.791377379624,6765.617021276596,2370.425755879066,,
5.563829787233885,2661.794736842105,,,4211.819148936171,4555.370996640542,5102.031914893618,2542.08454647257,7049.3723404255325,2433.502015677499,,
,,,,4612.41489361702,4595.19630459127,5202.180851063831,2463.956662933936,,,,
,,,,5090.904255319148,4667.233258678616,5352.404255319148,2517.427995520722,,,,
,,,,5396.914893617022,4719.064725643902,5497.063829787234,2664.5473684210583,,,,
,,,,5697.3617021276605,4798.481075028001,5641.723404255319,2817.172004479289,,,,
,,,,5931.04255319149,4873.0949608062765,5764.1276595744675,2936.9993281075085,,,,
,,,,6136.90425531915,4975.5279955207225,5925.478723404256,3061.921948488248,,,,
,,,,6537.500000000002,5202.532250839871,6281.563829787234,3272.8789473684274,,,,
,,,,6704.414893617022,5299.869988801798,6504.117021276596,3419.1783874580133,,,,
,,,,6787.8723404255325,5359.549384098551,6715.54255319149,3532.56338185891,,,,
,,,,,,6804.563829787234,3597.689473684218,,,,
